PlateID,Description,Email,Plate type,Montage XY,Tile overlap,Objective,Transfection date,Transfection time,Primary channel,ICC,ICC start,Brightfield,Make Stacks,FP1 Frames,FP1 ms_per_frames (ms),FP2 Frames,FP2 ms_per_frames (ms),FP3 Frames,FP3 ms_per_frames (ms),FP4 Frames,FP4 ms_per_frames (ms),Use DMD,Pattern channel,Pattern exposure,i1,i2,i3,t1,t2,t3,control group,microscope,binning,specify_coordinates,,,,
ExampleExperiment,TDP,5551234567@vtext.com,96w,4,10,20x,8/28/2018,9:00 AM,RFP,No,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,some-dna1,flo2,4x4,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imaging Hours Post-Transfection,Well,DNA1,[DNA1]-ng/well,DNA2,[DNA2]-ng/well,Survival marker,[Survival marker]-ng/well,Drug1,[Drug1],Units,Drug2,[Drug2],Units,FP1,Exposure (ms),FP2,Exposure (ms),FP3,Exposure (ms),FP4,Exposure (ms),Species,Cell type,Photswitch (FP),Photoswitch_exposure,Photoswitch_time,Antibody 1,Dilution,Ab1_FP,Ab1_FP_Exposure (ms),Antibody 2,Dilution,Ab2_FP,Ab2_FP_Exposure (ms),Antibody 3,Ab3_FP,Ab3_FP_Exposure (ms),Imaging Order
1 24 8/29/2018,A01,some-dna1,100,NA,NA,mApple,75,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2 47 8/30/2018,A02,some-dna2,100,NA,NA,mApple,75,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
3 71 8/31/2018,A03,some-dna3,100,NA,NA,mApple,75,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
4 107 9/1/2018,A04,some-dna4,100,NA,NA,mApple,75,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
5 131 9/2/2018,A05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
6 143 9/3/2018,A06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
7 167 9/4/2018,A07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RFP,75,GFP,75,DAPI,125,0,0,Rat,cortical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
