well,id,well-id,group,cell_type,drug,drug_conc,drug_conc_units,column,last_tp,last_time,death_cause,censored,event
A01,1,A01-1,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,2,A01-2,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,3,A01-3,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,4,A01-4,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,5,A01-5,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,6,A01-6,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,7,A01-7,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,8,A01-8,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,9,A01-9,some-dna1,cortical,NA,NA,NA,01,4,107,unfound,1,TRUE
A01,10,A01-10,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,11,A01-11,some-dna1,cortical,NA,NA,NA,01,4,107,unfound,1,TRUE
A01,12,A01-12,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,13,A01-13,some-dna1,cortical,NA,NA,NA,01,7,167,unfound,1,TRUE
A01,14,A01-14,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,15,A01-15,some-dna1,cortical,NA,NA,NA,01,3,71,unfound,1,TRUE
A01,16,A01-16,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,17,A01-17,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,18,A01-18,some-dna1,cortical,NA,NA,NA,01,4,107,unfound,1,TRUE
A01,19,A01-19,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,20,A01-20,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,21,A01-21,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,22,A01-22,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,23,A01-23,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,24,A01-24,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,25,A01-25,some-dna1,cortical,NA,NA,NA,01,6,143,unfound,1,TRUE
A01,26,A01-26,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,27,A01-27,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,28,A01-28,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,29,A01-29,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,30,A01-30,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,31,A01-31,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,32,A01-32,some-dna1,cortical,NA,NA,NA,01,7,167,unfound,1,TRUE
A01,33,A01-33,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,34,A01-34,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,35,A01-35,some-dna1,cortical,NA,NA,NA,01,3,71,unfound,1,TRUE
A01,36,A01-36,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,37,A01-37,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,38,A01-38,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,39,A01-39,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,40,A01-40,some-dna1,cortical,NA,NA,NA,01,8,191,unfound,1,TRUE
A01,41,A01-41,some-dna1,cortical,NA,NA,NA,01,7,167,unfound,1,TRUE
A01,42,A01-42,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,43,A01-43,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,44,A01-44,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,45,A01-45,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,46,A01-46,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,47,A01-47,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,48,A01-48,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,49,A01-49,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,50,A01-50,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,51,A01-51,some-dna1,cortical,NA,NA,NA,01,2,47,unfound,1,TRUE
A01,52,A01-52,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,53,A01-53,some-dna1,cortical,NA,NA,NA,01,3,71,unfound,1,TRUE
A01,54,A01-54,some-dna1,cortical,NA,NA,NA,01,6,143,unfound,1,TRUE
A01,55,A01-55,some-dna1,cortical,NA,NA,NA,01,5,131,unfound,1,TRUE
A01,56,A01-56,some-dna1,cortical,NA,NA,NA,01,6,143,unfound,1,TRUE
A01,57,A01-57,some-dna1,cortical,NA,NA,NA,01,3,71,unfound,1,TRUE
A01,58,A01-58,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,59,A01-59,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,60,A01-60,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,61,A01-61,some-dna1,cortical,NA,NA,NA,01,10,239,NA,0,FALSE
A01,62,A01-62,some-dna1,cortical,NA,NA,NA,01,6,143,unfound,1,TRUE
A01,63,A01-63,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,64,A01-64,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,65,A01-65,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,66,A01-66,some-dna1,cortical,NA,NA,NA,01,1,24,unfound,1,TRUE
A01,67,A01-67,some-dna1,cortical,NA,NA,NA,01,9,215,unfound,1,TRUE
A01,68,A01-68,some-dna1,cortical,NA,NA,NA,01,3,71,unfound,1,TRUE
A02,1,A02-1,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,2,A02-2,some-dna2,cortical,NA,NA,NA,02,8,191,unfound,1,TRUE
A02,3,A02-3,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,4,A02-4,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,5,A02-5,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,6,A02-6,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,7,A02-7,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,8,A02-8,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,9,A02-9,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,10,A02-10,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,11,A02-11,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,12,A02-12,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,13,A02-13,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,14,A02-14,some-dna2,cortical,NA,NA,NA,02,4,107,unfound,1,TRUE
A02,15,A02-15,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,16,A02-16,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,17,A02-17,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,18,A02-18,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,19,A02-19,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,20,A02-20,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,21,A02-21,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,22,A02-22,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,23,A02-23,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,24,A02-24,some-dna2,cortical,NA,NA,NA,02,7,167,unfound,1,TRUE
A02,25,A02-25,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,26,A02-26,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,27,A02-27,some-dna2,cortical,NA,NA,NA,02,4,107,unfound,1,TRUE
A02,28,A02-28,some-dna2,cortical,NA,NA,NA,02,4,107,unfound,1,TRUE
A02,29,A02-29,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,30,A02-30,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,31,A02-31,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,32,A02-32,some-dna2,cortical,NA,NA,NA,02,9,215,unfound,1,TRUE
A02,33,A02-33,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,34,A02-34,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,35,A02-35,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,36,A02-36,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,37,A02-37,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,38,A02-38,some-dna2,cortical,NA,NA,NA,02,7,167,unfound,1,TRUE
A02,39,A02-39,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,40,A02-40,some-dna2,cortical,NA,NA,NA,02,7,167,unfound,1,TRUE
A02,41,A02-41,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,42,A02-42,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,43,A02-43,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,44,A02-44,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,45,A02-45,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,46,A02-46,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,47,A02-47,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,48,A02-48,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,49,A02-49,some-dna2,cortical,NA,NA,NA,02,8,191,unfound,1,TRUE
A02,50,A02-50,some-dna2,cortical,NA,NA,NA,02,8,191,unfound,1,TRUE
A02,51,A02-51,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,52,A02-52,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,53,A02-53,some-dna2,cortical,NA,NA,NA,02,4,107,unfound,1,TRUE
A02,54,A02-54,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,55,A02-55,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,56,A02-56,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,57,A02-57,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,58,A02-58,some-dna2,cortical,NA,NA,NA,02,4,107,unfound,1,TRUE
A02,59,A02-59,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,60,A02-60,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A02,61,A02-61,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,62,A02-62,some-dna2,cortical,NA,NA,NA,02,9,215,unfound,1,TRUE
A02,63,A02-63,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,64,A02-64,some-dna2,cortical,NA,NA,NA,02,7,167,unfound,1,TRUE
A02,65,A02-65,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,66,A02-66,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,67,A02-67,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,68,A02-68,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,69,A02-69,some-dna2,cortical,NA,NA,NA,02,6,143,unfound,1,TRUE
A02,70,A02-70,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,71,A02-71,some-dna2,cortical,NA,NA,NA,02,3,71,unfound,1,TRUE
A02,72,A02-72,some-dna2,cortical,NA,NA,NA,02,2,47,unfound,1,TRUE
A02,73,A02-73,some-dna2,cortical,NA,NA,NA,02,10,239,NA,0,FALSE
A02,74,A02-74,some-dna2,cortical,NA,NA,NA,02,1,24,unfound,1,TRUE
A03,1,A03-1,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,2,A03-2,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,3,A03-3,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,4,A03-4,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,5,A03-5,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,6,A03-6,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,7,A03-7,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,8,A03-8,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,9,A03-9,some-dna3,cortical,NA,NA,NA,03,6,143,unfound,1,TRUE
A03,10,A03-10,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,11,A03-11,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,12,A03-12,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,13,A03-13,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,14,A03-14,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,15,A03-15,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,16,A03-16,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,17,A03-17,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,18,A03-18,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,19,A03-19,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,20,A03-20,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,21,A03-21,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,22,A03-22,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,23,A03-23,some-dna3,cortical,NA,NA,NA,03,9,215,unfound,1,TRUE
A03,24,A03-24,some-dna3,cortical,NA,NA,NA,03,8,191,unfound,1,TRUE
A03,25,A03-25,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,26,A03-26,some-dna3,cortical,NA,NA,NA,03,9,215,unfound,1,TRUE
A03,27,A03-27,some-dna3,cortical,NA,NA,NA,03,7,167,unfound,1,TRUE
A03,28,A03-28,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,29,A03-29,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,30,A03-30,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,31,A03-31,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,32,A03-32,some-dna3,cortical,NA,NA,NA,03,6,143,unfound,1,TRUE
A03,33,A03-33,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,34,A03-34,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,35,A03-35,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,36,A03-36,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,37,A03-37,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,38,A03-38,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,39,A03-39,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,40,A03-40,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,41,A03-41,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,42,A03-42,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,43,A03-43,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,44,A03-44,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,45,A03-45,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,46,A03-46,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,47,A03-47,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,48,A03-48,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,49,A03-49,some-dna3,cortical,NA,NA,NA,03,9,215,unfound,1,TRUE
A03,50,A03-50,some-dna3,cortical,NA,NA,NA,03,2,47,unfound,1,TRUE
A03,51,A03-51,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,52,A03-52,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,53,A03-53,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,54,A03-54,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,55,A03-55,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,56,A03-56,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,57,A03-57,some-dna3,cortical,NA,NA,NA,03,5,131,unfound,1,TRUE
A03,58,A03-58,some-dna3,cortical,NA,NA,NA,03,3,71,unfound,1,TRUE
A03,59,A03-59,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,60,A03-60,some-dna3,cortical,NA,NA,NA,03,10,239,NA,0,FALSE
A03,61,A03-61,some-dna3,cortical,NA,NA,NA,03,1,24,unfound,1,TRUE
A03,62,A03-62,some-dna3,cortical,NA,NA,NA,03,4,107,unfound,1,TRUE
